date,unemp
2006-1,15997
2006-2,15467
2006-3,15301
2006-4,13971
2006-5,13690
2006-6,15490
2006-7,15106
2006-8,14156
2006-9,13164
2006-10,12360
2006-11,13125
2006-12,12505
2007-1,14267
2007-2,13677
2007-3,13183
2007-4,11717
2007-5,11494
2007-6,13693
2007-7,13525
2007-8,12832
2007-9,12655
2007-10,12575
2007-11,13630
2007-12,14134
2008-1,16721
2008-2,16556
2008-3,17174
2008-4,15573
2008-5,15754
2008-6,18260
2008-7,18416
2008-8,17854
2008-9,17824
2008-10,18439
2008-11,19153
2008-12,20278
2009-1,23361
2009-2,23964
2009-3,23990
2009-4,22707
2009-5,23294
2009-6,26101
2009-7,25429
2009-8,24644
2009-9,24235
2009-10,24808
2009-11,25399
2009-12,26710
2010-1,29776
2010-2,29914
2010-3,30615
2010-4,28918
2010-5,28802
2010-6,31011
2010-7,30474
2010-8,29687
2010-9,29109
2010-10,28947
2010-11,30145
2010-12,30038
2011-1,31303
2011-2,31009
2011-3,30472
2011-4,28776
2011-5,28834
2011-6,29323
2011-7,28668
2011-8,28541
2011-9,28097
2011-10,27780
2011-11,28299
2011-12,28708
2012-1,30358
2012-2,30712
2012-3,30381
2012-4,28513
2012-5,27521
2012-6,29963
2012-7,28578
2012-8,27513
2012-9,25987
2012-10,26214
2012-11,25969
2012-12,26404
2013-1,28862
2013-2,28013
2013-3,26900
2013-4,25580
2013-5,25106
2013-6,27303
2013-7,25427
2013-8,23839
2013-9,23181
2013-10,22795
2013-11,22217
2013-12,21882
2014-1,23813
2014-2,23564
2014-3,22663
2014-4,20881
2014-5,18787
2014-6,19470
2014-7,18553
2014-8,17459
2014-9,16013
2014-10,15553
2014-11,16126
2014-12,15903
2015-1,18227
2015-2,17299
2015-3,16928
2015-4,15065
2015-5,14895
2015-6,15812
2015-7,14658
2015-8,13152
2015-9,12531
2015-10,12469
2015-11,12700
2015-12,12691
2016-1,14011
2016-2,13821
2016-3,13802
2016-4,12854
2016-5,11779
2016-6,13700
2016-7,12484
2016-8,11780
2016-9,11349
2016-10,10846
2016-11,10274
2016-12,10233
2017-1,12101
2017-2,11445
2017-3,10592
2017-4,9851
2017-5,9609
2017-6,11638
2017-7,11176
2017-8,11008
2017-9,10811
2017-10,10660
2017-11,11046
2017-12,11122
2018-1,13085
2018-2,13313
2018-3,12939
2018-4,12237
2018-5,11341
2018-6,14441
2018-7,14114
2018-8,13681
2018-9,12949
2018-10,12923
2018-11,13106
2018-12,13732
2019-1,15038
2019-2,13692
2019-3,13055
2019-4,11524
2019-5,10780
2019-6,12490
2019-7,12003
2019-8,11321
2019-9,10188
2019-10,10079
2019-11,10038
2019-12,9922